epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.6363,0.70192,2.90792,1.18075,0.92552,0.93216,0.95843,0.82979,0.45497,1.58512,0.88233,0.00016,0.00016,0.00016
2,25.7176,0.62418,1.34668,1.06052,0.84746,0.69457,0.79209,0.58593,0.79767,1.3325,1.12419,0.000336634,0.000336634,0.000336634
3,30.9673,0.75015,1.1521,1.06792,0.00813,0.8,0.00802,0.00519,1.1313,136.872,1.97592,0.000509704,0.000509704,0.000509704
4,36.4274,0.7463,0.96562,1.09349,0.00195,0.425,0.0013,0.00087,1.40698,inf,2.75277,0.00067921,0.00067921,0.00067921
5,41.996,0.76038,0.80712,1.08945,0,0,0,0,nan,nan,nan,0.000845152,0.000845152,0.000845152
6,47.4325,0.80167,0.86953,1.12414,0.00255,0.05,0.00064,0.00031,nan,nan,nan,0.00100753,0.00100753,0.00100753
7,52.6518,0.79108,0.85181,1.14999,0.56757,0.525,0.38808,0.23853,nan,nan,nan,0.00116634,0.00116634,0.00116634
8,57.8672,0.87029,0.75725,1.18103,0.1225,0.075,0.01585,0.00358,nan,nan,nan,0.00132159,0.00132159,0.00132159
9,63.0899,0.88216,0.77066,1.18454,0.08672,0.15,0.02512,0.01161,nan,nan,nan,0.00147328,0.00147328,0.00147328
10,68.2913,0.86175,0.76219,1.15586,0.24363,0.25,0.10175,0.0375,nan,nan,nan,0.0016214,0.0016214,0.0016214
11,73.3939,0.81785,0.6944,1.10638,0.25267,0.35,0.28017,0.17142,1.43018,5.97986,2.9063,0.00176596,0.00176596,0.00176596
12,78.0177,0.83665,0.6728,1.10311,0.08446,0.4,0.06362,0.02827,1.94365,5.83706,6.26448,0.0017822,0.0017822,0.0017822
13,82.569,0.90265,0.68503,1.18605,0.04341,0.5,0.03544,0.02122,1.52199,14.4606,2.66384,0.0017624,0.0017624,0.0017624
14,87.2161,0.83609,0.68328,1.1332,0.09414,0.675,0.09236,0.0628,1.08907,4.78775,1.75952,0.0017426,0.0017426,0.0017426
15,91.8601,0.74919,0.70385,1.1257,0.0805,0.625,0.07666,0.05324,1.10082,15.8203,1.58608,0.0017228,0.0017228,0.0017228
16,96.528,0.77448,0.62401,1.10638,0.02481,0.925,0.02451,0.017,1.01727,28.3405,1.55113,0.001703,0.001703,0.001703
17,101.103,0.71866,0.62445,1.06287,0.02625,0.975,0.0273,0.02096,0.82009,20.8512,1.24939,0.0016832,0.0016832,0.0016832
18,105.704,0.75891,0.61199,1.07649,0.02288,0.9,0.02285,0.01724,0.82322,29.0975,1.19741,0.0016634,0.0016634,0.0016634
19,110.286,0.71181,0.59345,1.089,0.49272,0.75279,0.62136,0.46099,0.81766,2.7977,1.22974,0.0016436,0.0016436,0.0016436
20,114.917,0.65175,0.58654,1.05536,0.74482,0.825,0.84548,0.67276,0.63002,0.96008,1.00033,0.0016238,0.0016238,0.0016238
21,119.502,0.66204,0.55733,1.03808,0.62473,0.525,0.59384,0.42871,0.84098,2.03892,1.20164,0.001604,0.001604,0.001604
22,124.157,0.68861,0.55649,1.07219,0.8521,0.75,0.8692,0.70146,0.76108,1.09947,1.24659,0.0015842,0.0015842,0.0015842
23,128.746,0.68709,0.58805,1.07594,0.76354,0.85,0.85194,0.6711,0.70684,1.13601,1.15536,0.0015644,0.0015644,0.0015644
24,133.443,0.65054,0.54157,1.05781,0.76197,0.925,0.91265,0.73968,0.69453,1.01208,1.15032,0.0015446,0.0015446,0.0015446
25,137.994,0.61629,0.48138,0.99241,0.71908,0.775,0.80156,0.62229,0.84725,1.15252,1.21029,0.0015248,0.0015248,0.0015248
26,142.576,0.68168,0.5283,1.05846,0.92068,0.975,0.98526,0.83161,0.58639,0.86722,0.9778,0.001505,0.001505,0.001505
27,147.186,0.62198,0.51384,1.02395,0.90285,0.975,0.97685,0.8722,0.49732,0.91952,0.88623,0.0014852,0.0014852,0.0014852
28,151.911,0.6665,0.53891,1.0631,0.93286,0.95,0.98591,0.86934,0.51513,0.50893,0.88726,0.0014654,0.0014654,0.0014654
29,156.593,0.57833,0.48801,0.99973,0.89934,0.85,0.94393,0.81806,0.56761,0.77969,0.92468,0.0014456,0.0014456,0.0014456
30,161.22,0.61179,0.51523,1.04056,0.92187,0.975,0.98846,0.87459,0.5286,0.58712,0.96004,0.0014258,0.0014258,0.0014258
31,165.882,0.59371,0.48564,1.00762,0.91984,0.86081,0.96878,0.80013,0.70657,0.59047,1.13457,0.001406,0.001406,0.001406
32,170.514,0.61781,0.48078,1.01767,0.88656,0.97698,0.98747,0.84234,0.57219,0.67534,1.02178,0.0013862,0.0013862,0.0013862
33,175.064,0.6043,0.48042,1.00868,0.9612,0.975,0.98295,0.89301,0.43839,0.46823,0.85181,0.0013664,0.0013664,0.0013664
34,179.7,0.56744,0.4747,0.99319,0.967,0.975,0.981,0.86301,0.5027,0.46732,0.90103,0.0013466,0.0013466,0.0013466
35,184.323,0.58092,0.47944,1.0019,0.99135,0.975,0.99451,0.90179,0.44683,0.45157,0.86759,0.0013268,0.0013268,0.0013268
36,188.991,0.58334,0.45605,1.0021,0.99599,1,0.995,0.90924,0.39948,0.38378,0.83921,0.001307,0.001307,0.001307
37,193.599,0.57624,0.47178,1.00955,0.99504,1,0.995,0.92172,0.42622,0.48071,0.84548,0.0012872,0.0012872,0.0012872
38,198.221,0.57436,0.46214,0.98957,0.96111,1,0.98963,0.89448,0.42543,0.46696,0.83974,0.0012674,0.0012674,0.0012674
39,202.86,0.56407,0.4407,0.99445,0.96908,1,0.98159,0.86382,0.43456,0.46651,0.84364,0.0012476,0.0012476,0.0012476
40,207.483,0.58861,0.45405,1.0277,0.94952,1,0.99405,0.89198,0.41771,0.52095,0.85037,0.0012278,0.0012278,0.0012278
41,212.109,0.57262,0.45923,0.99919,0.93632,0.875,0.95705,0.81446,0.4874,0.60904,0.86827,0.001208,0.001208,0.001208
42,216.8,0.55576,0.46643,1.00425,0.95711,0.85,0.96151,0.86034,0.44455,0.49067,0.85019,0.0011882,0.0011882,0.0011882
43,221.417,0.57736,0.46461,1.00629,0.951,0.97043,0.97951,0.89181,0.38672,0.39262,0.82451,0.0011684,0.0011684,0.0011684
44,226.018,0.54367,0.40582,0.97875,0.9944,1,0.995,0.92691,0.39119,0.37419,0.8296,0.0011486,0.0011486,0.0011486
45,230.65,0.5312,0.42405,0.98225,0.99024,1,0.995,0.91818,0.41794,0.36101,0.83568,0.0011288,0.0011288,0.0011288
46,235.245,0.52584,0.41773,0.97704,0.99424,1,0.995,0.92311,0.39443,0.30154,0.8219,0.001109,0.001109,0.001109
47,239.887,0.51827,0.41077,0.97339,0.97528,1,0.995,0.92339,0.40013,0.31237,0.83171,0.0010892,0.0010892,0.0010892
48,244.585,0.52449,0.40394,0.99002,0.96536,0.975,0.99167,0.91251,0.38013,0.33071,0.84316,0.0010694,0.0010694,0.0010694
49,249.171,0.50328,0.40313,0.97355,0.83026,0.8,0.8702,0.7035,0.74257,0.55285,1.08116,0.0010496,0.0010496,0.0010496
50,253.98,0.52421,0.40234,0.97174,0.80339,0.91951,0.92795,0.81309,0.48842,0.43005,0.90316,0.0010298,0.0010298,0.0010298
51,259.052,0.48107,0.36994,0.93713,0.99435,1,0.995,0.92825,0.3939,0.31456,0.82723,0.00101,0.00101,0.00101
52,263.972,0.54343,0.40479,0.97827,0.97281,1,0.99329,0.94145,0.35197,0.3122,0.8185,0.0009902,0.0009902,0.0009902
