epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.6679,0.91577,2.36843,1.26837,0.37852,0.84964,0.52344,0.36491,1.00349,6.71025,1.97074,0.000545377,0.000545377,0.000545377
2,85.947,1.06651,1.16826,1.36438,0.42009,0.69538,0.52626,0.28076,1.49792,7.26085,3.13101,0.00109014,0.00109014,0.00109014
3,116.355,1.097,1.06187,1.33279,0.40652,0.49745,0.43482,0.22247,1.87363,7.18783,2.73285,0.00162391,0.00162391,0.00162391
4,145.958,1.08824,0.98111,1.33366,0.40002,0.47011,0.38139,0.18448,1.70172,2.86422,2.3054,0.00161749,0.00161749,0.00161749
5,176.747,1.03847,0.983,1.29412,0.47564,0.72887,0.6841,0.50148,0.94119,3.06297,1.36089,0.00160099,0.00160099,0.00160099
6,206.961,0.98175,0.84171,1.26863,0.83875,0.83552,0.87679,0.64456,0.90479,1.57285,1.24568,0.00158448,0.00158448,0.00158448
7,239.949,0.98424,0.8592,1.26346,0.53699,0.63924,0.6756,0.46178,1.21652,2.1569,1.63022,0.00156798,0.00156798,0.00156798
8,272.951,0.98297,0.88812,1.2781,0.92551,0.89658,0.96652,0.76749,0.76166,0.80385,1.1177,0.00155148,0.00155148,0.00155148
9,304.966,0.9499,0.77035,1.25912,0.8267,0.75876,0.85988,0.6034,1.02598,0.99145,1.31643,0.00153497,0.00153497,0.00153497
10,337.247,0.89626,0.73075,1.21102,0.91013,0.93042,0.96249,0.76311,0.76773,0.73973,1.13605,0.00151847,0.00151847,0.00151847
11,368.693,0.86995,0.69894,1.1751,0.76142,0.80364,0.85744,0.622,0.92893,1.04968,1.2306,0.00150197,0.00150197,0.00150197
12,400.278,0.87891,0.71134,1.20728,0.71503,0.75924,0.74413,0.55872,0.90335,1.05354,1.27173,0.00148546,0.00148546,0.00148546
